,cep,cidade,uf,cep_5_digitos
602,76876601,Ariquemes,RO,76876
603,77860970,Wanderlândia,TO,77860
604,17033360,Bauru,SP,17033
605,17211150,Jaú,SP,17211
606,75387060,Trindade,GO,75387
607,87501095,Umuarama,PR,87501
608,76807152,Porto Velho,RO,76807
609,69101679,Itacoatiara,AM,69101
610,75533740,Itumbiara,GO,75533
611,76821200,Porto Velho,RO,76821
612,76873626,Ariquemes,RO,76873
613,13030100,Campinas,SP,13030
614,84285970,Figueira,PR,84285
615,78552730,Sinop,MT,78552
616,16980970,Guaraçaí,SP,16980
617,16510010,Cafelândia,SP,16510
618,13051002,Campinas,SP,13051
619,46380970,Candiba,BA,46380
620,45972970,Ibirajá,BA,45972
621,89065801,Blumenau,SC,89065
622,75711649,Catalão,GO,75711
623,13520992,São Pedro,SP,13520
624,78134304,Várzea Grande,MT,78134
625,15868000,Termas de Ibirá,SP,15868
626,13065631,Campinas,SP,13065
627,24710341,São Gonçalo,RJ,24710
628,59410970,Barcelona,RN,59410
629,46766971,Inúbia,BA,46766
630,76900445,Ji-Paraná,RO,76900
631,65606316,Caxias,MA,65606
632,68360970,Senador José Porfírio,PA,68360
633,95709090,Bento Gonçalves,RS,95709
634,68940970,Mazagão,AP,68940
635,35447970,Barra Longa,MG,35447
636,53120171,Olinda,PE,53120
637,72811060,Luziânia,GO,72811
638,68220972,Monte Alegre,PA,68220
639,81750190,Curitiba,PR,81750
640,33880390,Ribeirão das Neves,MG,33880
641,69077730,Manaus,AM,69077
642,37501200,Itajubá,MG,37501
643,07113000,Guarulhos,SP,07113
644,78553733,Sinop,MT,78553
645,19085210,Presidente Prudente,SP,19085
646,20020050,Rio de Janeiro,RJ,20020
647,36465970,Rio Melo,MG,36465
648,68193970,Novo Progresso,PA,68193
649,31260310,Belo Horizonte,MG,31260
650,66023000,Belém,PA,66023
651,20776959,Rio de Janeiro,RJ,20776
652,61900415,Maracanaú,CE,61900
