,cep_5_digitos,cidade,uf,lat,lon
283,77416,Gurupi,TO,-11.72794,-49.068046
284,63503,Iguatu,CE,-6.361934,-39.2972233
285,49092,Aracaju,SE,-10.9162061,-37.0774655
286,95972,Vespasiano Correa,RS,-29.0689663,-51.8597913
287,27460,Rio Claro,RJ,-22.7229997,-44.1359986
288,72135,Brasília,DF,-15.7934036,-47.8823172
289,36930,Simonésia,MG,-20.1233838,-42.0024294
290,51240,Recife,PE,-8.0584933,-34.8848193
291,20560,Rio de Janeiro,RJ,-22.9110137,-43.2093727
292,40270,Salvador,BA,-12.9822499,-38.4812772
293,72145,Brasília,DF,-15.7934036,-47.8823172
294,59320,Timbaúba dos Batistas,RN,-6.4634028,-37.2696374
295,60732,Fortaleza,CE,-3.7304512,-38.5217989
296,05438,São Paulo,SP,-23.5506507,-46.6333824
297,76806,Porto Velho,RO,-8.7494525,-63.8735438
298,59184,Vera Cruz,RN,-6.0493346,-35.4311152
299,25974,Teresópolis,RJ,-22.4164578,-42.975194
300,04373,São Paulo,SP,-23.5506507,-46.6333824
301,19680,João Ramalho,SP,-22.2486157,-50.7677114
302,28750,Trajano de Moraes,RJ,-22.0637911,-42.0644414
303,62503,Itapipoca,CE,-3.499329,-39.583571
304,78559,Sinop,MT,-11.8508224,-55.5175957
305,37476,Cristina,MG,-22.212222,-45.264167
306,13108,Campinas,SP,-22.90556,-47.06083
307,13705,Lagoa Branca,SP,-21.92722645,-47.047453507499995
308,74345,Goiânia,GO,-16.680882,-49.2532691
309,82115,Curitiba,PR,-25.4295963,-49.2712724
310,39492,Pedras de Maria da Cruz,MG,-15.605833,-44.391944
311,08539,Ferraz de Vasconcelos,SP,-23.541056,-46.37097
312,29894,Vinhático,ES,-18.18593315,-40.215660592902694
313,32641,Betim,MG,-19.968056,-44.198333
314,94818,Alvorada,RS,-29.9981184,-51.0772509
315,18620,Anhembi,SP,-22.796764500000002,-48.146295431151586
316,19430,Marabá Paulista,SP,-22.1069936,-51.9629504
317,13068,Campinas,SP,-22.90556,-47.06083
318,79260,Bela Vista,MS,-22.107327,-56.5317344
319,25221,Duque de Caxias,RJ,-22.7896225,-43.309929
320,08330,São Paulo,SP,-23.5506507,-46.6333824
321,05115,São Paulo,SP,-23.5506507,-46.6333824
322,62023,Sobral,CE,-3.6879135,-40.3456372
323,74420,Goiânia,GO,-16.680882,-49.2532691
324,17132,Agudos,SP,-22.4719836,-48.9884476
325,53300,Olinda,PE,-7.9986401,-34.8459552
326,90560,Porto Alegre,RS,-30.0324999,-51.2303767
327,57840,Santana do Mundaú,AL,-9.171413,-36.217608
328,13550,Analândia,SP,-22.1285713,-47.67774974932432
329,70298,Brasília,DF,-15.7934036,-47.8823172
330,64560,Santo Inácio do Piauí,PI,-7.4224725,-41.9146001
331,53330,Olinda,PE,-7.9986401,-34.8459552
332,98825,Buriti,RS,-28.29271645,-54.40197445487827
333,46640,Ituaçu,BA,-13.815529,-41.2981722
334,13321,Salto,SP,-23.1989983,-47.2913682
335,32410,Ibirité,MG,-20.0214251,-44.0621506
336,68903,Macapá,AP,0.0401529,-51.0569588
337,38770,João Pinheiro,MG,-17.742777,-46.175278
338,89609,Luzerna,SC,-27.1294338,-51.4686169
339,24922,Maricá,RJ,-22.9057478,-42.789831397132616
340,95933,Canudos do Vale,RS,-29.3240418,-52.2348494
341,89840,Coronel Freitas,SC,-26.9058932,-52.7028055
342,83535,Campo Magro,PR,-25.3691533,-49.4496921
343,88680,Bom Retiro,SC,-27.798993,-49.486994
344,38026,Uberaba,MG,-19.750833,-47.936666
345,30210,Belo Horizonte,MG,-19.9227318,-43.9450948
346,11611,São Sebastião,SP,-23.8027866,-45.4070527
347,58665,Tenório,PB,-6.94734485,-36.6171928772894
348,65910,Imperatriz,MA,-5.5269279,-47.478115
349,60844,Fortaleza,CE,-3.7304512,-38.5217989
350,08562,Poá,SP,-23.5249082,-46.3445663
351,22245,Rio de Janeiro,RJ,-22.9110137,-43.2093727
352,89062,Blumenau,SC,-26.9195567,-49.0658025
353,08592,Itaquaquecetuba,SP,-23.4754492,-46.3514033
354,32342,Contagem,MG,-19.9132749,-44.0840953
